EFFECT OF EARLY STOPPING
Depth	    Total Nodes	  Terminal Nodes  Training Error     Test Error
10		878		616		1.2		25.25
20		1000		618		1.2		25.225
30		1120		618		1.2		25.2
40		1244		624		1.1		25.4
50		1397		680		0.7		25.65
60		1467		680		0.7		25.65
70		1537		680		0.7		25.625
80		1607		680		0.7		25.625
86		1649		680		0.7		25.625

Number of times an attribute is used as the splitting function
Attribute	Frequency
0		15
1		17
2		21
3		10
4		8
5		11
6		18
7		11
8		10
9		12
10		8
11		12
12		10
13		16
14		10
15		10
16		11
17		9
18		8
19		10
20		8
21		8
22		8
23		11
24		10
25		9
26		9
27		9
28		9
29		13
30		8
31		6
32		7
33		8
34		8
35		7
36		8
37		9
38		12
39		11
40		12
41		8
42		10
43		29
44		13
45		11
46		1
47		13
48		15
49		12
50		13
51		11
52		12
53		15
54		13
55		12
56		12
57		12
58		24
59		12
60		15
61		13
62		12
63		12
64		9
65		12
66		11
67		12
68		12
69		11
70		12
71		12
72		11
73		12
74		11
75		12
76		12
77		12
78		12
79		9
80		12
81		12
82		12
83		12
84		12
